framework,task,category,feature,mean_abs_shap,rank
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_1,0.25255692648887634,22
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_2,0.22085828698426463,33
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_3,0.14319023735324546,90
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_4,0.4840991160571575,4
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_5,0.3321259336347379,8
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_6,0.28509708565721936,15
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_7,0.1660705816447735,62
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_8,0.17471983210245798,53
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_9,0.1319597662786642,103
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_10,0.11690489181379474,125
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_11,0.08980980296681308,201
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_12,0.11117830693473417,136
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_13,0.11780029692749175,121
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_14,0.18302947781731702,46
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_15,0.10760589671631658,140
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_16,0.11740301059683152,122
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_17,0.14685828354706326,86
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_18,0.23806594913204507,26
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_19,0.12012087557216494,118
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_20,0.1475956828917066,84
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_21,0.21640989455084025,36
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_22,0.22606879822909842,30
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_23,0.17268821894874165,56
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_24,0.16205462342997426,68
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_25,0.1753297867824634,51
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_26,0.13528340281794435,101
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_27,0.09010983486473574,198
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_28,0.07719252799699691,238
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_29,0.054717606534560835,284
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_30,0.044969207609693265,294
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_31,0.049513355990251105,290
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_32,0.03472795157879614,300
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_33,0.041406202452878085,295
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_34,0.03991627628107839,297
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_35,0.034020493671298266,301
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_36,0.048863571961720885,291
auto-sklearn,age_regression,Anthropometric regression,F_V_PRO_37,0.0793626611530783,229
