task,category,auto-sklearn vs auto-pytorch,auto-sklearn vs autogluon,auto-pytorch vs autogluon
age_regression,Anthropometric regression,0.391504957397099,0.4435287246047713,0.48733387629456565
height_regression,Anthropometric regression,0.5815024208938843,0.655121407051824,0.6301717920136383
predict_F_AP_PRO_20pct_F_AP_PRO_21,Force regression,0.47219878105954055,0.645827473042663,0.6868495077355838
predict_F_AP_PRO_40pct_F_AP_PRO_41,Force regression,0.4243553680262541,0.41357243319268644,0.5185888420065635
predict_F_AP_PRO_60pct_F_AP_PRO_61,Force regression,0.2049929676511955,0.4702531645569621,0.40182841068917025
predict_F_AP_PRO_80pct_F_AP_PRO_81,Force regression,0.2680496952648852,0.5455696202531646,0.4858180965775903
predict_F_ML_PRO_20pct_F_ML_PRO_21,Force regression,0.30215658696671355,0.21073605250820443,0.48117674636661983
predict_F_ML_PRO_40pct_F_ML_PRO_41,Force regression,-0.0012189404594467885,0.34024847632442573,0.4507501172058135
predict_F_ML_PRO_60pct_F_ML_PRO_61,Force regression,0.2778012189404595,0.45766526019690584,0.4011017346460385
predict_F_ML_PRO_80pct_F_ML_PRO_81,Force regression,0.3193858415377403,0.503117674636662,0.5075246132208159
predict_F_V_PRO_20pct_F_V_PRO_21,Force regression,0.37039381153305206,0.6038677918424755,0.42201125175808724
predict_F_V_PRO_40pct_F_V_PRO_41,Force regression,0.6069854664791374,0.5505391467416784,0.4744725738396625
predict_F_V_PRO_60pct_F_V_PRO_61,Force regression,0.579535864978903,0.5557196436943274,0.5142053445850914
predict_F_V_PRO_80pct_F_V_PRO_81,Force regression,0.4985935302390999,0.5473277074542898,0.44517112048757623
sex_classification,Classification,0.33628381572908067,0.37259032194610187,0.7860675227508809
